,stock,weights,shares,price,value
0,EPSIL.ATH,0.233,247,2.82,696.54
1,ENTER.ATH,0.207,348,1.78,619.44
2,DOMIK.ATH,0.136,1192,0.34,407.66
3,PAP.ATH,0.108,137,2.36,323.32
4,TENERGY.ATH,0.095,23,11.9,273.7
5,PLAT.ATH,0.081,90,2.7,243.0
6,LAVI.ATH,0.069,575,0.36,207.0
7,CASH,0.08,0,0.0,229.34
