,stock,weights,shares,price,value
0,ENTER.ATH,0.466,847,1.65,1397.55
1,PLAT.ATH,0.227,265,2.56,679.72
2,ILYDA.ATH,0.156,843,0.56,467.87
3,PAIR.ATH,0.074,509,0.44,221.92
4,LAVI.ATH,0.057,566,0.3,170.93
5,CASH,0.02,0,0.0,62.01
