,stock,weights,shares,price,value
0,ENTER.ATH,0.215,362,1.78,644.36
1,EPSIL.ATH,0.215,228,2.82,642.96
2,TENERGY.ATH,0.158,39,11.9,464.1
3,DOMIK.ATH,0.155,1359,0.34,464.78
4,PAP.ATH,0.118,150,2.36,354.0
5,PLAT.ATH,0.11,122,2.7,329.4
6,CASH,0.03,0,0.0,100.4
